year,month,average
1983,11,341.59
1983,12,343.05
1984,1,344.1
1984,2,344.79
1984,3,345.52
1984,4,-99.99
1984,5,347.63
1984,6,346.97
1984,7,345.53
1984,8,343.55
1984,9,341.4
1984,10,341.67
1984,11,343.1
1984,12,344.7
1985,1,345.21
1985,2,346.16
1985,3,347.74
1985,4,348.34
1985,5,349.06
1985,6,348.38
1985,7,346.72
1985,8,345.02
1985,9,343.27
1985,10,343.13
1985,11,344.49
1985,12,345.88
1986,1,346.56
1986,2,347.28
1986,3,348.01
1986,4,349.77
1986,5,350.38
1986,6,349.93
1986,7,348.16
1986,8,346.08
1986,9,345.22
1986,10,344.51
1986,11,345.93
1986,12,347.22
1987,1,348.52
1987,2,348.73
1987,3,349.73
1987,4,351.31
1987,5,352.09
1987,6,351.53
1987,7,350.11
1987,8,348.08
1987,9,346.52
1987,10,346.59
1987,11,347.96
1987,12,349.16
1988,1,350.39
1988,2,351.64
1988,3,352.41
1988,4,353.69
1988,5,354.21
1988,6,353.72
1988,7,352.69
1988,8,350.4
1988,9,348.92
1988,10,349.13
1988,11,350.2
1988,12,351.41
1989,1,352.91
1989,2,353.27
1989,3,353.96
1989,4,355.64
1989,5,355.86
1989,6,355.37
1989,7,353.99
1989,8,351.81
1989,9,350.05
1989,10,350.25
1989,11,351.49
1989,12,352.85
1990,1,353.8
1990,2,355.04
1990,3,355.73
1990,4,356.32
1990,5,357.32
1990,6,356.34
1990,7,354.84
1990,8,353.01
1990,9,351.31
1990,10,351.62
1990,11,353.07
1990,12,354.33
1991,1,354.84
1991,2,355.73
1991,3,357.23
1991,4,358.66
1991,5,359.13
1991,6,358.13
1991,7,356.19
1991,8,353.85
1991,9,352.25
1991,10,352.35
1991,11,353.81
1991,12,355.12
1992,1,356.25
1992,2,357.11
1992,3,357.86
1992,4,359.09
1992,5,359.59
1992,6,359.33
1992,7,357.01
1992,8,354.94
1992,9,352.95
1992,10,353.32
1992,11,354.32
1992,12,355.57
1993,1,357.0
1993,2,357.31
1993,3,358.47
1993,4,359.27
1993,5,360.19
1993,6,359.52
1993,7,357.33
1993,8,355.64
1993,9,354.03
1993,10,354.12
1993,11,355.41
1993,12,356.91
1994,1,358.24
1994,2,358.92
1994,3,359.99
1994,4,361.23
1994,5,361.65
1994,6,360.81
1994,7,359.38
1994,8,357.46
1994,9,355.73
1994,10,356.07
1994,11,357.53
1994,12,358.98
1995,1,359.92
1995,2,360.86
1995,3,361.83
1995,4,363.3
1995,5,363.69
1995,6,363.19
1995,7,361.64
1995,8,359.12
1995,9,358.17
1995,10,357.99
1995,11,359.45
1995,12,360.68
1996,1,362.07
1996,2,363.24
1996,3,364.17
1996,4,364.57
1996,5,365.13
1996,6,364.92
1996,7,363.55
1996,8,361.38
1996,9,359.54
1996,10,359.58
1996,11,360.89
1996,12,362.24
1997,1,363.09
1997,2,364.03
1997,3,364.51
1997,4,366.35
1997,5,366.64
1997,6,365.59
1997,7,364.31
1997,8,362.25
1997,9,360.29
1997,10,360.82
1997,11,362.49
1997,12,364.38
1998,1,365.26
1998,2,365.98
1998,3,367.24
1998,4,368.66
1998,5,369.42
1998,6,368.99
1998,7,367.82
1998,8,365.95
1998,9,364.02
1998,10,364.4
1998,11,365.52
1998,12,367.13
1999,1,368.18
1999,2,369.07
1999,3,369.68
1999,4,370.99
1999,5,370.96
1999,6,370.3
1999,7,369.45
1999,8,366.9
1999,9,364.81
1999,10,365.37
1999,11,366.72
1999,12,368.1
2000,1,369.29
2000,2,369.55
2000,3,370.6
2000,4,371.81
2000,5,371.58
2000,6,371.7
2000,7,369.86
2000,8,368.13
2000,9,367.0
2000,10,367.03
2000,11,368.37
2000,12,369.67
2001,1,370.59
2001,2,371.51
2001,3,372.43
2001,4,373.37
2001,5,373.85
2001,6,373.21
2001,7,371.51
2001,8,369.61
2001,9,368.18
2001,10,368.45
2001,11,369.76
2001,12,371.24
2002,1,372.53
2002,2,373.2
2002,3,374.12
2002,4,375.02
2002,5,375.76
2002,6,375.52
2002,7,374.01
2002,8,371.85
2002,9,370.75
2002,10,370.55
2002,11,372.25
2002,12,373.79
2003,1,374.88
2003,2,375.64
2003,3,376.45
2003,4,377.73
2003,5,378.6
2003,6,378.28
2003,7,376.7
2003,8,374.38
2003,9,373.17
2003,10,373.14
2003,11,374.66
2003,12,375.99
2004,1,377.0
2004,2,377.87
2004,3,378.88
2004,4,380.35
2004,5,380.62
2004,6,379.69
2004,7,377.47
2004,8,376.01
2004,9,374.25
2004,10,374.46
2004,11,376.16
2004,12,377.51
2005,1,378.46
2005,2,379.73
2005,3,380.77
2005,4,382.29
2005,5,382.45
2005,6,382.22
2005,7,380.74
2005,8,378.74
2005,9,376.7
2005,10,377.0
2005,11,378.35
2005,12,380.11
2006,1,381.38
2006,2,382.2
2006,3,382.67
2006,4,384.61
2006,5,385.03
2006,6,384.05
2006,7,382.46
2006,8,380.41
2006,9,378.85
2006,10,379.13
2006,11,380.15
2006,12,381.82
2007,1,382.89
2007,2,383.9
2007,3,384.58
2007,4,386.5
2007,5,386.56
2007,6,386.1
2007,7,384.5
2007,8,381.99
2007,9,380.96
2007,10,381.12
2007,11,382.45
2007,12,383.94
2008,1,385.52
2008,2,385.82
2008,3,386.03
2008,4,387.21
2008,5,388.54
2008,6,387.76
2008,7,386.36
2008,8,384.09
2008,9,383.18
2008,10,382.99
2008,11,384.19
2008,12,385.56
2009,1,386.94
2009,2,387.48
2009,3,388.82
2009,4,389.55
2009,5,390.14
2009,6,389.48
2009,7,388.03
2009,8,386.11
2009,9,384.74
2009,10,384.43
2009,11,386.02
2009,12,387.42
2010,1,388.71
2010,2,390.2
2010,3,391.17
2010,4,392.46
2010,5,393.0
2010,6,392.15
2010,7,390.2
2010,8,388.35
2010,9,386.85
2010,10,387.24
2010,11,388.67
2010,12,389.79
2011,1,391.33
2011,2,391.86
2011,3,392.6
2011,4,393.25
2011,5,394.19
2011,6,393.73
2011,7,392.51
2011,8,390.13
2011,9,389.08
2011,10,389.0
2011,11,390.28
2011,12,391.86
2012,1,393.12
2012,2,393.86
2012,3,394.4
2012,4,396.18
2012,5,396.74
2012,6,395.71
2012,7,394.36
2012,8,392.39
2012,9,391.11
2012,10,391.05
2012,11,392.98
2012,12,394.34
2013,1,395.55
2013,2,396.8
2013,3,397.43
2013,4,398.41
2013,5,399.78
2013,6,398.61
2013,7,397.32
2013,8,395.2
2013,9,393.45
2013,10,393.7
2013,11,395.16
2013,12,396.84
2014,1,397.85
2014,2,398.01
2014,3,399.77
2014,4,401.38
2014,5,401.78
2014,6,401.25
2014,7,399.1
2014,8,397.03
2014,9,395.38
2014,10,396.03
2014,11,397.28
2014,12,398.91
2015,1,399.98
2015,2,400.28
2015,3,401.54
2015,4,403.28
2015,5,403.96
2015,6,402.8
2015,7,401.31
2015,8,398.93
2015,9,397.63
2015,10,398.29
2015,11,400.16
2015,12,401.85
2016,1,402.52
2016,2,404.04
2016,3,404.83
2016,4,407.42
2016,5,407.7
2016,6,406.81
2016,7,404.39
2016,8,402.25
2016,9,401.03
2016,10,401.57
2016,11,403.53
2016,12,404.48
2017,1,406.13
