Make,Honda,Toyota,Honda,Ford,Honda,Toyota,Lexus,Toyota,Lexus,Lexus,Nissan,Lexus,Saturn,Chevrolet,Chevrolet,Saturn,Dodge,Chevrolet,Ford,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mazda,BMW,BMW,Honda,Lincoln,Porsche,Lexus,Volkswagen,Infinity,Hyundai,Buick,Buick,Porsche,Kia,Acura,Ford,Lexus,Audi,Toyota,Volkswagen,Mercedes-Benz,Infiniti,Chevrolet,Infiniti,Nissan,Subaru,Acura,Lexus,Toyota,Acura,Kia,Hyundai,Chevrolet,Toyota,Ford,Honda,Ford,Porsche,Cadillac,BMW,Porsche,Mercedes-Benz,Volvo,BMW,Hyundai,Audi,BMW,Mercedes-Benz,BMW,Mercedes-Benz,Kia,Nissan,Smart,Mitsubishi,BMW,Ford,Honda,Tesla,Toyota,Chevrolet,Fiat,BMW,Mercedes-Benz,Volkswagen,Kia,Tesla,Chevrolet,Hyundai,Toyota,Honda
2006-11,2,8008,2208,1484,311,1667,1327,3100,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12,3,9291,2408,1968,363,2354,1981,4005,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01,0,8299,1783,1238,248,1810,1245,2801,167,,,,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02,0,12227,1924,1696,312,1892,1249,3332,160,,206,,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03,1,19156,2813,2523,385,2501,1471,5144,181,,462,,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-04,2,13056,2855,2275,318,2394,1384,4410,174,,483,,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05,0,24009,4520,3214,439,3312,1746,6853,181,,821,,797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06,0,17756,3246,2526,342,2403,1562,5530,131,,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07,0,16062,2493,1578,260,1205,1385,4329,142,,1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,0,14055,2102,1833,275,378,1172,4284,130,,643,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09,0,12494,2092,1652,229,193,979,4196,72,,756,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-10,0,13158,2286,2084,243,596,1392,3511,71,,927,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-11,0,16737,3238,2224,204,2577,1674,5118,100,,1191,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12,0,14212,3223,2265,150,2791,2032,4969,136,,964,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01,0,11379,1745,1474,48,2143,1211,3750,64,,473,105,135,233,112,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02,0,10895,1808,1743,42,1938,1148,4121,77,,529,112,135,234,112,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03,0,20635,3769,2008,53,2239,1570,6930,65,,832,113,135,234,112,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04,0,21757,4324,1907,25,2578,1624,6678,82,,801,122,135,234,112,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05,0,15011,4676,2378,16,2644,2155,5999,98,,1607,112,340,589,282,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06,0,11765,2710,1912,7,1511,1330,3054,73,,1333,73,277,547,295,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-07,0,14785,3440,1265,3,1371,1439,2645,40,,715,83,362,351,349,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08,0,13463,3105,1338,2,1227,1277,3456,35,,442,71,417,798,388,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,0,10873,2020,990,0,921,744,2785,29,,470,47,443,1101,382,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-10,0,11804,1621,1997,1,1022,615,2792,22,,554,55,354,795,325,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11,0,8660,1043,1361,0,907,624,2174,42,,353,37,328,767,195,45,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12,0,7859,1036,1149,1,890,1463,1888,51,,710,50,338,1729,454,34,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01,0,8121,1076,880,1,984,1556,1141,41,,644,33,153,599,145,19,42,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02,0,7232,1362,1294,0,956,1502,2080,22,,463,22,188,632,197,23,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03,569,8924,2869,1351,0,1037,1165,2554,42,,834,25,362,609,547,26,0,68,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04,2096,8385,3361,1134,0,933,655,2198,33,,222,19,338,523,547,31,0,95,1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05,2780,10091,2077,1827,0,1351,393,2941,43,,345,27,227,641,706,35,0,130,2079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06,2079,12998,1583,1405,0,1098,527,2093,27,,666,31,239,547,489,56,0,123,2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07,2295,19173,969,2543,0,1171,1369,2509,45,,1030,28,269,538,476,24,0,180,2810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08,4226,18886,717,2102,0,836,1754,2114,48,543,3164,10,414,562,441,65,0,226,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09,1746,10984,152,878,0,269,1168,872,38,1242,345,12,90,615,156,30,0,120,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,1739,13496,239,949,0,700,1567,1407,39,1527,299,21,56,792,114,30,0,167,1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11,1403,9617,243,960,0,722,1210,1465,37,1407,503,15,134,489,212,29,0,156,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12,1639,11775,471,1157,0,1029,1598,1513,54,1980,842,15,186,645,132,159,0,279,1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01,1307,8484,253,715,0,526,1016,867,41,1247,1059,9,14,278,67,25,0,97,1152,77,70,,43,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02,2014,7968,346,782,0,339,890,1011,22,712,619,15,4,315,68,2,0,106,1317,77,69,,42,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03,1652,11786,579,1282,0,594,1251,1549,31,1494,394,9,8,368,80,4,0,180,1784,98,67,,59,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04,1880,12555,621,1119,0,692,1232,1655,25,1076,330,7,4,399,67,0,0,161,1607,108,37,,58,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05,1913,14248,717,1383,0,683,1358,1455,38,1360,1167,8,3,565,41,2,0,337,2562,101,181,,61,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06,1491,10998,595,1360,0,611,1304,1097,22,603,479,4,14,368,36,5,0,120,2103,63,212,,55,128,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07,1858,14102,617,1220,0,575,1356,1276,16,165,378,14,0,262,14,4,0,135,1676,69,24,,68,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08,2030,11799,761,790,0,486,1370,1165,15,594,284,15,2,252,12,3,0,379,3104,84,79,,55,3,26,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09,1679,11394,667,842,0,523,1112,1104,18,711,511,9,0,215,2,1,0,232,1756,83,24,,53,2,9,1236,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10,1965,11731,662,809,0,756,1402,1194,29,792,443,9,0,245,6,4,0,391,1816,114,2,,67,0,7,1419,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,1536,10224,612,814,0,722,1293,983,18,788,434,13,0,213,7,0,0,97,1586,39,0,,46,9,8,1024,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12,1637,15639,906,972,0,949,1535,1231,30,1121,612,17,1,377,5,5,0,158,1769,42,1,,48,6,25,876,424,206,,,,,,,,,,,,,,,,,,,,,,,,,,,326,,,,,,,,,,,,,,,,,,,19,0,,,,,,,,,,,,,,,,,
2011-01,1554,10635,653,520,0,689,912,860,19,286,365,8,0,217,0,0,0,213,969,26,1,,36,5,32,894,370,211,,65,,,,,,,,,,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,87,16,,,,,,,,,,,,,,,,,
2011-02,1722,13539,532,795,0,707,999,993,33,183,366,7,0,191,0,0,0,67,1379,24,0,,37,9,35,1091,395,142,,60,,,,,,,,,,,,,,,,,,,,,,,,,281,,,,,,,,,,,,,,,,,,,67,16,,,,,,,,,,,,,,,,,
2011-03,2782,18605,441,1195,0,797,1438,1437,24,230,545,9,0,278,0,0,0,120,1466,25,0,,34,5,38,1685,615,114,2199,44,,,,,,,,,,,,,,,,,,,,,,,,,608,,,,,,,,,,,,,,,,,,,298,0,,,,,,,,,,,,,,,,,
2011-04,2644,12477,121,1070,0,380,1167,1110,29,279,334,10,0,276,0,0,0,119,1285,32,0,,37,2,32,1819,503,107,875,52,42,,,,,,,,,,,,,,,,,,,,,,,,493,,,,,,,,,,,,,,,,,,,573,0,,,,,,,,,,,,,,,,,
2011-05,1435,6924,268,1118,0,149,610,592,18,220,499,1,0,229,2,0,0,111,1256,49,0,,35,3,38,1557,561,114,454,40,36,,,,,,,,,,,,,,,,,,,,,,,,481,,,,,,,,,,,,,,,,,,,1142,8,,,,,,,,,,,,,,,,,
2011-06,1021,4340,418,826,0,74,413,449,24,159,250,4,0,129,22,0,0,90,969,26,0,59,64,6,27,966,483,177,240,23,33,1422,,,,,,,,,,,,,,,,,,,,,,,561,,,,,,,,,,,,,,,,,,,1708,0,,,,,,,,,,,,,,,,,
2011-07,987,7907,311,652,0,185,671,393,26,306,204,6,0,115,0,0,0,37,456,25,0,0,48,5,20,878,480,130,1553,14,35,4177,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,931,1,,,,,,,,,,,,,,,,,
2011-08,961,9491,106,563,0,226,841,318,17,284,318,9,0,76,0,0,0,23,216,15,0,0,51,0,15,745,491,128,2087,10,54,4136,,,,,,,,,,,,,,,,,,,,,,,302,,,,,,,,,,,,,,,,,,,1362,1,,,,,,,,,,,,,,,,,
2011-09,512,9325,305,566,0,218,650,229,18,231,217,8,0,31,0,0,0,82,552,22,0,0,32,4,16,537,455,112,1444,14,45,2000,,,,,,,,,,,,,,,,,,,,,,,723,,,,,,,,,,,,,,,,,,,1031,0,,,,,,,,,,,,,,,,,
2011-10,492,11008,480,573,0,239,861,333,19,205,49,9,0,88,0,0,0,53,857,9,0,0,38,2,9,289,477,107,1511,18,33,2001,297,,,,,,,,,,,,,,,,,,,,,,1108,,,,,,,,,,,,,,,,,,,849,17,,,,,,,,,,,,,,,,,
2011-11,749,15208,503,1131,0,322,928,730,22,207,55,5,0,79,0,0,0,45,993,19,0,0,36,-1,25,305,475,140,1759,21,46,1723,522,37,26,,,,,,,,,,,,,,,,,,,,1139,,,,,,,,,,,,,,,,,,,672,101,,,,,,,,,,,,,,,,,
2011-12,690,17004,565,1080,0,563,1233,1797,33,274,34,9,0,168,0,0,0,205,888,37,0,0,36,3,51,564,434,89,2259,29,54,1907,982,86,26,,,,,,,,,,,,,,,,,,,,1529,,,,,,,,,,,,,,,,,,,954,182,76,,,,,,,,,,,,,,,,
2012-01,492,11555,449,345,0,362,753,2116,25,152,27,8,0,76,1,0,0,25,611,11,0,0,24,0,31,363,253,112,1025,36,35,1304,781,63,39,705,,,,,,,,,,,,,,,,,,,603,,,,,,,,,,,,,,,,,,,676,0,36,112,,,,,,,,,,,,,,,
2012-02,773,20589,741,434,0,474,826,3750,20,150,22,6,0,151,350,0,0,54,1110,28,13,0,21,0,60,466,419,137,1640,18,58,1568,1248,137,34,925,,,,,,,,,,,,,,,,,,,1023,,,,,,,,,,,,,,,,,,,478,2,44,115,,,,,,,,,,,,,,,
2012-03,1032,27800,906,162,0,607,992,5404,12,261,18,5,0,227,1416,0,0,94,1009,10,0,0,29,2,54,536,626,124,2223,19,47,2095,1117,135,43,1201,,,,,,,,,,,,,,,,,,,2289,911,,,,,,,,,,,,,,,,,,579,0,56,326,,,,,,,,,,,,,,,
2012-04,738,23514,766,0,0,552,801,4406,10,28,10,8,0,144,1557,0,0,42,778,8,0,0,16,-1,29,334,397,104,1620,12,23,1847,1165,130,26,837,,,,,,,,,,,,,,,,,,,1462,1654,,,,,,,,,,,,,,,,,,370,0,79,30,,,,,,,,,,,,,,,
2012-05,512,20391,708,206,0,560,1011,4403,42,21,9,6,0,161,1642,0,0,62,683,7,0,0,0,1,26,296,480,150,1549,18,78,1869,1202,174,73,810,34,,,,,,,,,,,,,,,,,,1680,1086,,,,,,,,,,,,,,,,,,510,0,85,11,6,,,,,,,,,,,,,,
2012-06,494,18455,548,17,0,496,1193,3471,75,10,3,6,0,124,2002,0,0,38,797,8,3,0,0,1,9,409,451,42,1387,25,73,1884,1245,219,25,933,115,,,,,,,,,,,,,,,,,,1760,695,,,,,,,,,,,,,,,,,,535,127,33,79,89,,,,,,,,,,,,,,
2012-07,419,15955,471,50,0,469,1171,3197,60,5,7,1,0,132,1938,0,0,48,1109,5,2,0,0,1,21,330,594,60,1499,27,59,1888,867,233,35,848,110,0,,,,,,,,,,,,,,,,,1849,688,,,,,,,,,,,,,,,,,,395,6,33,0,38,7,,,,,,,,,,,,,
2012-08,341,20064,579,34,0,449,1170,3840,94,7,0,0,0,135,2414,0,0,96,1071,11,2,0,0,0,25,392,998,69,1472,17,60,1766,1024,331,48,907,136,0,817,,,,,,,,,,,,,,,,2831,1047,,,,,,,,,,,,,,,,,,685,1,37,0,34,9,100,,,,,,,,,,,,
2012-09,246,17280,493,81,0,413,944,3704,89,8,3,1,0,110,1656,0,0,29,898,9,2,0,0,0,40,335,781,84,1195,5,45,1560,840,463,86,902,140,969,1400,25,,,,,,,,,,,,,,,2851,1652,,,,,,,,,,,,,,,,,,984,0,36,0,59,16,150,61,,,,,,,,,,,
2012-10,251,14885,453,9,0,466,997,2986,68,3,3,5,0,146,1266,0,0,72,956,10,0,0,0,-1,321,244,465,106,1199,11,66,1510,978,287,48,745,144,3038,1520,33,,,,,,,,,,,,,,,2961,1889,144,,,,,,,,,,,,,,,,,1579,0,30,-2,118,16,450,47,,,,,,,,,,,
2012-11,238,14739,530,21,0,485,971,3936,60,3,1,2,0,171,1041,0,0,188,1834,4,0,0,0,2,214,244,282,108,1264,44,71,1589,724,211,67,681,174,3589,1424,90,,,,,,,,,,,,,,,1519,1766,1259,,,,,,,,,,,,,,,,,1539,3,42,0,172,26,800,32,,,,,,,,,,,
2012-12,310,18679,512,82,0,588,1394,4443,52,2,0,6,0,224,1381,0,0,192,3244,10,0,0,0,-1,206,243,321,84,1598,18,76,1874,819,181,46,751,119,3339,1866,122,747,162,,,,,,,,,,,,,2633,1361,971,,,,,,,,,,,,,,,,,1489,0,77,0,167,19,900,52,,,,,,,,,,,
2013-01,319,14898,429,0,0,452,744,3826,34,0,0,14,0,97,981,0,0,19,3043,12,3,0,0,0,77,358,100,60,1001,21,37,1192,576,184,46,909,84,2387,1324,90,1040,232,22,,,,,,,,,,,,1140,874,338,2,0,,,,,,,,,,,,,,,650,1,257,0,81,8,1350,25,,,,,,,,,,,
